chain,kind,tx_hash,block_number,from_addr,to_addr,asset,amount_raw,decimals,amount,gas_fee_eth,status,note
arbitrum-one,safe_lpt_transfer,0x91d3710bac1e93a91bb487852179c12af5a24f1cb2c9372c00b22830c780dba9,337382724,0xc34b3753c164fbc3fc066fc1a46b3eee8adb33e6,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,LPT,100000000000000000000,18,100,0.00000276304,success,Safe LPT transfer to gateway
arbitrum-one,testing_wallet_return,0x814f0309cf6456017e4d075efd0d186d0e163347ed841f608b8cf061e986b860,337564998,0xa03113bab8d4ebe5695591f60011741233e8b82f,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,ETH,31000000000000000,18,0.031,3.70579376E-7,success,Phase 1 testing wallet return to gateway
arbitrum-one,testing_wallet_return,0x6bee07f616b06a5949d7515fc9607a55849b8f6ad57467173ca4855853803fc3,338422594,0xa03113bab8d4ebe5695591f60011741233e8b82f,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,ETH,31239097258328000,18,0.031239097258328,2.5257E-7,success,Phase 1 testing wallet return to gateway
arbitrum-one,testing_wallet_return,0xee8caebc8730c391d41a983e3367f0e7fb643bcb5b7217f8b08c18bac40d607c,338579104,0xa03113bab8d4ebe5695591f60011741233e8b82f,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,ETH,31160990453545200,18,0.0311609904535452,3.9720991E-7,success,Phase 1 testing wallet return to gateway
arbitrum-one,safe_exec_eth_transfer,0x24254ffd17961da1685688a3374a784ede91d9d7749af6a5340f62242e5664a2,346898846,0xc34b3753c164fbc3fc066fc1a46b3eee8adb33e6,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,ETH,20000000000000000,18,0.02,9.211E-7,success,Safe execTransaction ETH transfer to gateway
arbitrum-one,safe_exec_eth_transfer,0x8bd1c2aa29d91a5de82f8b7406f5edd9b05f8ae2b0965b8f89d174e5614a488f,346902540,0xc34b3753c164fbc3fc066fc1a46b3eee8adb33e6,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,ETH,520000000000000000,18,0.52,8.7046E-7,success,Safe execTransaction ETH transfer to gateway
arbitrum-one,testing_wallet_return,0x701f5a952692d10a46c4559c96e621b422973be12b39857b94e19d8a677c5379,346931400,0xa03113bab8d4ebe5695591f60011741233e8b82f,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,ETH,132836645373681100,18,0.1328366453736811,2.7032E-7,success,Phase 1 testing wallet return to gateway
arbitrum-one,testing_wallet_return,0xbf685a5ca7dfb7b6bd6f9fef170fad682f9a112f968db3824802877416d9e3cc,347030404,0xa03113bab8d4ebe5695591f60011741233e8b82f,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,ETH,510000000000000000,18,0.51,2.3924E-7,success,Phase 1 testing wallet return to gateway
arbitrum-one,safe_lpt_transfer,0x63199da48bf8a4cef805a6473a93a27204f771a89dc8c1093df4cb932e535883,348005024,0xc34b3753c164fbc3fc066fc1a46b3eee8adb33e6,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,LPT,400000000000000000000,18,400,0.00000142072,success,Safe LPT transfer to gateway
arbitrum-one,testing_wallet_return,0x843d7d773c9091c2e8f1270428032dd283e0bcf41fc976a8ad96b13e8b6951ab,348276287,0xa03113bab8d4ebe5695591f60011741233e8b82f,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,ETH,170000000000000000,18,0.17,2.691E-7,success,Phase 1 testing wallet return to gateway
arbitrum-one,safe_lpt_transfer,0x7f161931e3e7ea4f14fc578082ed77e4ee57ea70f2704f18ce7878645daacf82,360465880,0xc34b3753c164fbc3fc066fc1a46b3eee8adb33e6,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,LPT,600000000000000000000,18,600,0.00000125148,success,Safe LPT transfer to gateway
arbitrum-one,treasury_eth_disbursement,0x146979df78b6280422a0e1b73f6f15d25a2ba7c3909b21e40817030ed2d862b4,373629636,0x04e334ff13c71488094e24f4fab53a8fafe2f9bb,0x2f3f5eb42df57e758b478515f6849fa0c83d1580,ETH,10000000000000000,18,0.01,2.2358E-7,success,Phase 3 treasury disbursement
arbitrum-one,treasury_eth_disbursement,0x2e869d84a090b990f0b1a32126ca06a3b7c8862f6d23c98235c052314b22ad91,374200391,0x04e334ff13c71488094e24f4fab53a8fafe2f9bb,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,ETH,500000000000000000,18,0.5,2.154E-7,success,Phase 3 treasury disbursement
arbitrum-one,treasury_eth_disbursement,0x50b696771e969057c3820f8af4068d20cd6684604a3fa6f589ee00c0afd8e724,381887716,0x04e334ff13c71488094e24f4fab53a8fafe2f9bb,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,ETH,100000000000000000,18,0.1,0.000083747551227,success,Phase 3 treasury disbursement
arbitrum-one,treasury_eth_disbursement,0x3f15b95bf62cc8e7acb068ee57ffaa2aa1d46936efd9bb7c8ea2762be2bc84b4,381888768,0x04e334ff13c71488094e24f4fab53a8fafe2f9bb,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,ETH,200000000000000000,18,0.2,0.000067571506312,success,Phase 3 treasury disbursement
arbitrum-one,treasury_eth_disbursement,0xa78d3ee82e17fd6a8ee6355279e927575cb63f7559b91fd7a52ee8ab5a999a88,381893517,0x04e334ff13c71488094e24f4fab53a8fafe2f9bb,0x8a8053c21696f27ed305a03bd1efc5d068d91d0e,ETH,125000000000000000,18,0.125,0.00004061184677,success,Phase 3 treasury disbursement
